date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:11	111/111	---MCZ	200	added ('OK')	text/plain	date:Wed,%2025%20Jun%202025%2010:47:11%20GMT	http://localhost:10004/robots.txt		(from )
12:47:12	69136/69136	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2010:47:11%20GMT	http://localhost:10004/	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/index.html	(from )
12:47:12	16449/16449	---MCZ	200	added ('OK')	text/css	etag:W/%2267a62ae8-4041%22	http://localhost:10004/wp-includes/blocks/navigation/style.min.css?ver=6.8.1	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-includes/blocks/navigation/style.min0899.css	(from http://localhost:10004/)
12:47:12	19126/19126	---MCZ	200	added ('OK')	text/css	etag:W/%2267a62ae8-4ab6%22	http://localhost:10004/wp-includes/blocks/cover/style.min.css?ver=6.8.1	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-includes/blocks/cover/style.min0899.css	(from http://localhost:10004/)
12:47:12	2503/2503	---MCZ	200	added ('OK')	text/css	etag:W/%2267fd2958-9c7%22	http://localhost:10004/wp-content/themes/twentytwentyfive/style.css?ver=1.2	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-content/themes/twentytwentyfive/style62ea.css	(from http://localhost:10004/)
12:47:13	87553/87553	---M--	200	added ('OK')	application/x-javascript	etag:%2264ecd5ef-15601%22	http://localhost:10004/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost:10004/)
12:47:14	13577/13577	---M--	200	added ('OK')	application/x-javascript	etag:%226482bd64-3509%22	http://localhost:10004/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost:10004/)
12:47:14	25711/25711	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dea19c45b2b3ca4265f5f92c5f60ddb5%22	http://localhost:10004/feed/	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/feed/index.html	(from http://localhost:10004/)
12:47:14	1656/1656	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dea19c45b2b3ca4265f5f92c5f60ddb5%22	http://localhost:10004/comments/feed/	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/comments/feed/index.html	(from http://localhost:10004/)
12:47:14	10016/10016	---MCZ	200	added ('OK')	application/json	date:Wed,%2025%20Jun%202025%2010:47:14%20GMT	http://localhost:10004/wp-json/wp/v2/pages/6	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-json/wp/v2/pages/6.json	(from http://localhost:10004/)
12:47:15	221643/221643	---MCZ	200	added ('OK')	application/json	date:Wed,%2025%20Jun%202025%2010:47:14%20GMT	http://localhost:10004/wp-json/	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-json/index.html	(from http://localhost:10004/)
12:47:15	798/798	---MC-	200	added ('OK')	text/xml	date:Wed,%2025%20Jun%202025%2010:47:15%20GMT	http://localhost:10004/xmlrpc.php?rsd	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/xmlrpc0db0.php	(from http://localhost:10004/)
12:47:16	2029/2029	---MCZ	200	added ('OK')	application/json	date:Wed,%2025%20Jun%202025%2010:47:16%20GMT	http://localhost:10004/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A10004%2F	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-json/oembed/1.0/embeda944.json	(from http://localhost:10004/)
12:47:16	3358/3358	---M--	200	added ('OK')	application/x-javascript	etag:%2267c5f02a-d1e%22	http://localhost:10004/wp-includes/js/dist/script-modules/block-library/navigation/view.min.js?ver=61572d447d60c0aa5240	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-includes/js/dist/script-modules/block-library/navigation/view.minf3d8.js	(from http://localhost:10004/)
12:47:16	2191/2191	---MC-	200	added ('OK')	text/xml	date:Wed,%2025%20Jun%202025%2010:47:16%20GMT	http://localhost:10004/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A10004%2F&format=xml	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-json/oembed/1.0/embedaccc	(from http://localhost:10004/)
12:47:16	38256/38256	---M--	200	added ('OK')	application/x-javascript	etag:%2267c5f02a-9570%22	http://localhost:10004/wp-includes/js/dist/script-modules/interactivity/index.min.js?ver=55aebb6e0a16726baffb	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-includes/js/dist/script-modules/interactivity/index.min1c7d.js	(from http://localhost:10004/)
12:47:21	28564/28564	---M--	200	added ('OK')	application/font-woff2	etag:%22685921ed-6f94%22	http://localhost:10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_vB7ukmDSFXjQiQ.woff2	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_vB7ukmDSFXjQiQ.woff2	(from http://localhost:10004/)
12:47:21	29376/29376	---M--	200	added ('OK')	application/font-woff2	etag:%22685921ed-72c0%22	http://localhost:10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_PB_ukmDSFXjQiQ.woff2	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_PB_ukmDSFXjQiQ.woff2	(from http://localhost:10004/)
12:47:22	29588/29588	---M--	200	added ('OK')	application/font-woff2	etag:%22685921ed-7394%22	http://localhost:10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_vB_ukmDSFXjQiQ.woff2	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_vB_ukmDSFXjQiQ.woff2	(from http://localhost:10004/)
12:47:23	29020/29020	---M--	200	added ('OK')	application/font-woff2	etag:%22685921ed-715c%22	http://localhost:10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_jh_ukmDSFXjQiQ.woff2	C:/Users/timon/Desktop/HTTrack/wp-playground/localhost_10004/wp-content/uploads/fonts/va9b4kzIxd1KFppkaRKvDRPJVDf_jh_ukmDSFXjQiQ.woff2	(from http://localhost:10004/)
